"name","Code_display","Common_name","Latin_name","Major_use","Other_uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","Photosynthetic.pathway","Repro_type","Daylength","Vernalization","Harvested_parts","When_harvested","N_fixation","Major_planting","Other_planting","Wikipedia","DSSAT_tree_node"
"ACK","CRID, ICPCR, HACRID","Artichoke","Cynara scolymus","Vegetable",NA,NA,NA,NA,NA,"C3","Annual","SD/LD","Y","Inflorescence","Size","N","Cuttings","Seed","en.wikipedia.org/wiki/Artichoke","Vegetables"
"ALD","CRID","Almond","Prunus dulcis","Nut",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"en.wikipedia.org/wiki/Almond","Nut"
"ALF","CRID","Alfalfa","Medicago sativa","Forage",NA,"Lucerne","AL","Lucerne",NA,"C3","Perennial","LD","N","Shoot",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Alfalfa","Forages"
"AMR","CRID","Amaranth","Amaranthus spp.","Pseudocereal","Vegetable","A. caudatus, A. cruentus, and A.hypochondriacus",NA,NA,NA,"C4","Annual","SD",NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Amaranth#Seed","Cereals"
"APL","CRID","Apple","Malus pumila","Fruit",NA,NA,"AM","Apple",NA,"C3","Perennial",NA,"Y","Fruit",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Apple","Fruit crops"
"APR","CRID","Apricot","Prunus armeniaca","Fruit",NA,NA,"AP","Apricot",NA,"C3","Perennial",NA,"Y","Fruit",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Apricot","Fruit crops"
"ASP","CRID","Asparagus","Asparagus officinalis","Vegetable",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N","Crowns",NA,"en.wikipedia.org/wiki/Asparagus","Vegetables"
"AVC","CRID","Avocado","Persea americana","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit","Size","N",NA,NA,"en.wikipedia.org/wiki/Avocado","Fruit crops"
"BAR","CRID","Barley","Hordeum vulgare","Cereal","Fodder",NA,"BA","Barley","Barley","C3","Annual","LD","Y","Seed","Stage","N","Seed",NA,"en.wikipedia.org/wiki/Barley","Cereals"
"BBR","CRID","Blueberry","Vaccinium spp.","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Cuttings",NA,"en.wikipedia.org/wiki/Blueberry","Fruit crops"
"BGR","CRID","Bitter gourd","Momordica charantia","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Momordica_charantia","Vegetables"
"BHG","CRID","Bahia grass","Paspalum spp.","Forage",NA,NA,"BH","Bahia",NA,"C4","Perennial","LD",NA,"Shoot",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Paspalum_notatum","Forages"
